reason_for_absence,month_of_absence,day_of_week,season,transportation_expense,distance_to_work,service_time,age,workload_average,hit_target,disciplinary_failure,education,son,social_drinker,social_smoker,pet,weight,height,bmi,absenteeism_hours,bmi_category,is_risky_lifestyle,is_high_absentee,ID
28,,,,225,26,9,28,253.465,93,0,,1,0,0,2,69,169,24,2,normal,0,0,28
26,,,,289,36,13,33,253.465,93,0,,2,1,0,1,90,172,30,8,obese,0,0,11
23,,,,361,52,3,28,253.465,93,0,,1,1,0,4,80,172,27,1,overweight,0,0,10
28,,,,260,50,11,36,253.465,93,0,,4,1,0,0,65,168,23,3,normal,0,0,20
23,,,,179,51,18,38,306.345,93,0,,0,1,0,0,89,170,31,1,obese,0,0,3
23,,,,225,26,9,28,306.345,93,0,,1,0,0,2,69,169,24,1,normal,0,0,28
13,,,,179,51,18,38,306.345,93,0,,0,1,0,0,89,170,31,8,obese,0,0,3
21,,,,179,22,17,40,306.345,93,0,,2,0,1,0,63,170,22,8,normal,0,0,17
23,,,,291,31,12,40,306.345,93,0,,1,1,0,1,73,171,25,5,overweight,0,0,15
10,,,,155,12,14,34,306.345,93,0,,2,1,0,0,95,196,25,32,overweight,0,1,14
22,,,,189,29,13,33,306.345,93,0,,2,0,0,2,69,167,25,8,overweight,0,0,6
14,,,,291,31,12,40,306.345,93,0,,1,1,0,1,73,171,25,40,overweight,0,1,15
23,,,,225,26,9,28,306.345,93,0,,1,0,0,2,69,169,24,1,normal,0,0,28
6,,,,155,12,14,34,306.345,93,0,,2,1,0,0,95,196,25,8,overweight,0,0,14
23,,,,225,26,9,28,306.345,93,0,,1,0,0,2,69,169,24,3,normal,0,0,28
21,,,,179,22,17,40,306.345,93,0,,2,0,1,0,63,170,22,8,normal,0,0,17
13,,,,225,26,9,28,306.345,93,0,,1,0,0,2,69,169,24,3,normal,0,0,28
28,,,,260,50,11,36,306.345,93,0,,4,1,0,0,65,168,23,4,normal,0,0,20
28,,,,248,25,14,47,306.345,93,0,,2,0,0,1,86,165,32,1,obese,0,0,33
28,,,,225,26,9,28,306.345,93,0,,1,0,0,2,69,169,24,3,normal,0,0,28
7,,,,289,36,13,33,306.345,93,0,,2,1,0,1,90,172,30,24,obese,0,1,11
23,,,,291,31,12,40,306.345,93,0,,1,1,0,1,73,171,25,3,overweight,0,0,15
23,,,,248,25,14,47,261.306,97,0,,2,0,0,1,86,165,32,1,obese,0,0,33
19,,,,118,10,10,37,261.306,97,0,,0,0,0,0,83,172,28,64,overweight,0,1,34
23,,,,118,13,18,50,261.306,97,0,,1,1,0,0,98,178,31,2,obese,0,0,36
26,,,,235,11,14,37,261.306,97,0,,1,0,0,1,88,172,29,8,overweight,0,0,1
23,,,,225,26,9,28,261.306,97,0,,1,0,0,2,69,169,24,2,normal,0,0,28
26,,,,260,50,11,36,261.306,97,0,,4,1,0,0,65,168,23,8,normal,0,0,20
19,,,,118,10,10,37,261.306,97,0,,0,0,0,0,83,172,28,56,overweight,0,1,34
22,,,,361,52,3,28,261.306,97,0,,1,1,0,4,80,172,27,8,overweight,0,0,10
28,,,,225,26,9,28,261.306,97,0,,1,0,0,2,69,169,24,3,normal,0,0,28
28,,,,260,50,11,36,261.306,97,0,,4,1,0,0,65,168,23,3,normal,0,0,20
23,,,,225,26,9,28,261.306,97,0,,1,0,0,2,69,169,24,2,normal,0,0,28
22,,,,361,52,3,28,261.306,97,0,,1,1,0,4,80,172,27,8,overweight,0,0,10
27,,,,118,10,10,37,261.306,97,0,,0,0,0,0,83,172,28,2,overweight,0,0,34
19,,,,246,25,16,41,261.306,97,0,,0,1,0,0,67,170,23,8,normal,0,0,24
23,,,,225,26,9,28,261.306,97,0,,1,0,0,2,69,169,24,2,normal,0,0,28
23,,,,225,26,9,28,308.593,95,0,,1,0,0,2,69,169,24,1,normal,0,0,28
19,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,1,overweight,0,0,34
27,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,1,overweight,0,0,34
18,,,,155,12,14,34,308.593,95,0,,2,1,0,0,95,196,25,8,overweight,0,0,14
27,,,,225,26,9,28,308.593,95,0,,1,0,0,2,69,169,24,2,normal,0,0,28
23,,,,184,42,7,27,308.593,95,0,,0,0,0,0,58,167,21,2,normal,0,0,27
28,,,,225,26,9,28,308.593,95,0,,1,0,0,2,69,169,24,2,normal,0,0,28
27,,,,225,26,9,28,308.593,95,0,,1,0,0,2,69,169,24,1,normal,0,0,28
27,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,2,overweight,0,0,34
27,,,,225,26,9,28,308.593,95,0,,1,0,0,2,69,169,24,2,normal,0,0,28
27,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,2,overweight,0,0,34
27,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,2,overweight,0,0,34
27,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,2,overweight,0,0,34
27,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,2,overweight,0,0,34
27,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,2,overweight,0,0,34
27,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,2,overweight,0,0,34
18,,,,179,26,9,30,308.593,95,0,,0,0,0,0,56,171,19,8,normal,0,0,22
18,,,,289,36,13,33,308.593,95,0,,2,1,0,1,90,172,30,8,obese,0,0,11
27,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,2,overweight,0,0,34
23,,,,184,42,7,27,308.593,95,0,,0,0,0,0,58,167,21,2,normal,0,0,27
27,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,2,overweight,0,0,34
27,,,,118,10,10,37,308.593,95,0,,0,0,0,0,83,172,28,0,overweight,0,0,34
23,,,,225,26,9,28,308.593,95,0,,1,0,0,2,69,169,24,1,normal,0,0,28
22,,,,289,36,13,33,308.593,95,0,,2,1,0,1,90,172,30,3,obese,0,0,11
23,,,,184,42,7,27,302.585,99,0,,0,0,0,0,58,167,21,1,normal,0,0,27
1,,,,246,25,16,41,302.585,99,0,,0,1,0,0,67,170,23,8,normal,0,0,24
11,,,,179,51,18,38,302.585,99,0,,0,1,0,0,89,170,31,8,obese,0,0,3
28,,,,155,12,14,34,302.585,99,0,,2,1,0,0,95,196,25,2,overweight,0,0,14
23,,,,189,29,13,33,302.585,99,0,,2,0,0,2,69,167,25,8,overweight,0,0,6
28,,,,260,50,11,36,302.585,99,0,,4,1,0,0,65,168,23,2,normal,0,0,20
22,,,,289,36,13,33,302.585,99,0,,2,1,0,1,90,172,30,8,obese,0,0,11
11,,,,388,15,9,50,302.585,99,0,,0,0,0,0,76,178,24,8,normal,0,0,31
1,,,,388,15,9,50,302.585,99,0,,0,0,0,0,76,178,24,8,normal,0,0,31
28,,,,225,26,9,28,302.585,99,0,,1,0,0,2,69,169,24,2,normal,0,0,28
23,,,,225,26,9,28,302.585,99,0,,1,0,0,2,69,169,24,2,normal,0,0,28
23,,,,179,26,9,30,302.585,99,0,,0,0,0,0,56,171,19,1,normal,0,0,22
23,,,,184,42,7,27,302.585,99,0,,0,0,0,0,58,167,21,8,normal,0,0,27
25,,,,225,26,9,28,302.585,99,0,,1,0,0,2,69,169,24,3,normal,0,0,28
18,,,,330,16,4,28,302.585,99,0,,0,0,0,0,84,182,25,8,overweight,0,0,18
23,,,,330,16,4,28,302.585,99,0,,0,0,0,0,84,182,25,1,overweight,0,0,18
23,,,,225,26,9,28,302.585,99,0,,1,0,0,2,69,169,24,1,normal,0,0,28
19,,,,189,29,13,33,302.585,99,0,,2,0,0,2,69,167,25,8,overweight,0,0,6
28,,,,291,50,12,32,343.253,95,0,,0,1,0,0,65,169,23,2,normal,0,0,19
19,,,,260,50,11,36,343.253,95,0,,4,1,0,0,65,168,23,8,normal,0,0,20
19,,,,157,27,6,29,343.253,95,0,,0,1,1,0,75,185,22,3,normal,1,0,30
17,,,,179,22,17,40,343.253,95,0,,2,0,1,0,63,170,22,8,normal,0,0,17
22,,,,291,31,12,40,343.253,95,0,,1,1,0,1,73,171,25,8,overweight,0,0,15
13,,,,260,50,11,36,343.253,95,0,,4,1,0,0,65,168,23,8,normal,0,0,20
13,,,,179,26,9,30,343.253,95,0,,0,0,0,0,56,171,19,8,normal,0,0,22
14,,,,248,25,14,47,343.253,95,0,,2,0,0,1,86,165,32,3,obese,0,0,33
13,,,,260,50,11,36,343.253,95,0,,4,1,0,0,65,168,23,40,normal,0,1,20
11,,,,179,22,17,40,343.253,95,0,,2,0,1,0,63,170,22,40,normal,0,1,17
1,,,,155,12,14,34,343.253,95,0,,2,1,0,0,95,196,25,16,overweight,0,1,14
26,,,,260,50,11,36,343.253,95,0,,4,1,0,0,65,168,23,16,normal,0,1,20
13,,,,155,12,14,34,343.253,95,0,,2,1,0,0,95,196,25,8,overweight,0,0,14
6,,,,289,36,13,33,343.253,95,0,,2,1,0,1,90,172,30,8,obese,0,0,11
8,,,,179,22,17,40,343.253,95,0,,2,0,1,0,63,170,22,8,normal,0,0,17
28,,,,260,50,11,36,343.253,95,0,,4,1,0,0,65,168,23,4,normal,0,0,20
23,,,,225,26,9,28,343.253,95,0,,1,0,0,2,69,169,24,1,normal,0,0,28
14,,,,279,5,14,39,343.253,95,0,,2,1,1,0,68,168,24,8,normal,1,0,7
13,,,,179,51,18,38,343.253,95,0,,0,1,0,0,89,170,31,24,obese,0,1,3
23,,,,225,26,9,28,343.253,95,0,,1,0,0,2,69,169,24,2,normal,0,0,28
11,,,,225,26,9,28,343.253,95,0,,1,0,0,2,69,169,24,8,normal,0,0,28
13,,,,179,26,9,30,343.253,95,0,,0,0,0,0,56,171,19,1,normal,0,0,22
11,,,,225,26,9,28,343.253,95,0,,1,0,0,2,69,169,24,8,normal,0,0,28
11,,,,225,26,9,28,343.253,95,0,,1,0,0,2,69,169,24,16,normal,0,1,28
13,,,,179,51,18,38,343.253,95,0,,0,1,0,0,89,170,31,3,obese,0,0,3
14,,,,279,5,14,39,343.253,95,0,,2,1,1,0,68,168,24,16,normal,1,1,7
28,,,,225,26,9,28,343.253,95,0,,1,0,0,2,69,169,24,2,normal,0,0,28
14,,,,248,25,14,47,343.253,95,0,,2,0,0,1,86,165,32,3,obese,0,0,33
28,,,,225,26,9,28,343.253,95,0,,1,0,0,2,69,169,24,1,normal,0,0,28
28,,,,291,31,12,40,326.452,96,0,,1,1,0,1,73,171,25,1,overweight,0,0,15
23,,,,225,26,9,28,326.452,96,0,,1,0,0,2,69,169,24,1,normal,0,0,28
28,,,,155,12,14,34,326.452,96,0,,2,1,0,0,95,196,25,1,overweight,0,0,14
13,,,,246,25,16,41,326.452,96,0,,0,1,0,0,67,170,23,24,normal,0,1,24
23,,,,155,12,14,34,326.452,96,0,,2,1,0,0,95,196,25,1,overweight,0,0,14
28,,,,225,26,9,28,326.452,96,0,,1,0,0,2,69,169,24,2,normal,0,0,28
28,,,,260,50,11,36,326.452,96,0,,4,1,0,0,65,168,23,4,normal,0,0,20
13,,,,179,51,18,38,326.452,96,0,,0,1,0,0,89,170,31,24,obese,0,1,3
23,,,,118,13,18,50,326.452,96,0,,1,1,0,0,98,178,31,1,obese,0,0,36
23,,,,291,31,12,40,326.452,96,0,,1,1,0,1,73,171,25,3,overweight,0,0,15
14,,,,246,25,16,41,326.452,96,0,,0,1,0,0,67,170,23,8,normal,0,0,24
28,,,,291,31,12,40,326.452,96,0,,1,1,0,1,73,171,25,1,overweight,0,0,15
28,,,,248,25,14,47,326.452,96,0,,2,0,0,1,86,165,32,8,obese,0,0,33
19,,,,260,50,11,36,326.452,96,0,,4,1,0,0,65,168,23,56,normal,0,1,20
19,,,,289,36,13,33,326.452,96,0,,2,1,0,1,90,172,30,8,obese,0,0,11
12,,,,155,12,14,34,326.452,96,0,,2,1,0,0,95,196,25,24,overweight,0,1,14
19,,,,378,49,11,36,326.452,96,0,,2,0,1,4,65,174,21,8,normal,0,0,23
13,,,,289,36,13,33,326.452,96,0,,2,1,0,1,90,172,30,16,obese,0,1,11
7,,,,235,11,14,37,326.452,96,0,,1,0,0,1,88,172,29,3,overweight,0,0,1
0,,,,235,29,12,48,326.452,96,1,,1,0,1,5,88,163,33,0,obese,0,0,2
13,,,,289,36,13,33,378.884,92,0,,2,1,0,1,90,172,30,8,obese,0,0,11
28,,,,155,12,14,34,378.884,92,0,,2,1,0,0,95,196,25,2,overweight,0,0,14
28,,,,155,12,14,34,378.884,92,0,,2,1,0,0,95,196,25,1,overweight,0,0,14
18,,,,179,51,18,38,378.884,92,0,,0,1,0,0,89,170,31,8,obese,0,0,3
19,,,,225,26,9,28,378.884,92,0,,1,0,0,2,69,169,24,8,normal,0,0,28
7,,,,184,42,7,27,378.884,92,0,,0,0,0,0,58,167,21,4,normal,0,0,27
28,,,,155,12,14,34,378.884,92,0,,2,1,0,0,95,196,25,2,overweight,0,0,14
12,,,,179,51,18,38,378.884,92,0,,0,1,0,0,89,170,31,1,obese,0,0,3
13,,,,289,36,13,33,378.884,92,0,,2,1,0,1,90,172,30,24,obese,0,1,11
0,,,,279,5,14,39,378.884,92,1,,2,1,1,0,68,168,24,0,normal,1,0,7
0,,,,330,16,4,28,378.884,92,1,,0,0,0,0,84,182,25,0,overweight,0,0,18
0,,,,378,49,11,36,378.884,92,1,,2,0,1,4,65,174,21,0,normal,0,0,23
0,,,,388,15,9,50,378.884,92,1,,0,0,0,0,76,178,24,0,normal,0,0,31
11,,,,179,51,18,38,378.884,92,0,,0,1,0,0,89,170,31,1,obese,0,0,3
13,,,,118,13,18,50,378.884,92,0,,1,1,0,0,98,178,31,24,obese,0,1,36
22,,,,361,52,3,28,378.884,92,0,,1,1,0,4,80,172,27,8,overweight,0,0,10
19,,,,246,25,16,41,377.55,94,0,,0,1,0,0,67,170,23,8,normal,0,0,24
22,,,,361,52,3,28,377.55,94,0,,1,1,0,4,80,172,27,8,overweight,0,0,10
10,,,,246,25,16,41,377.55,94,0,,0,1,0,0,67,170,23,24,normal,0,1,24
23,,,,291,31,12,40,377.55,94,0,,1,1,0,1,73,171,25,4,overweight,0,0,15
10,,,,246,25,16,41,377.55,94,0,,0,1,0,0,67,170,23,8,normal,0,0,24
11,,,,179,51,18,38,377.55,94,0,,0,1,0,0,89,170,31,8,obese,0,0,3
23,,,,155,12,14,34,377.55,94,0,,2,1,0,0,95,196,25,4,overweight,0,0,14
10,,,,246,25,16,41,377.55,94,0,,0,1,0,0,67,170,23,8,normal,0,0,24
13,,,,118,13,18,50,377.55,94,0,,1,1,0,0,98,178,31,8,obese,0,0,36
13,,,,235,11,14,37,377.55,94,0,,1,0,0,1,88,172,29,16,overweight,0,1,1
23,,,,118,13,18,50,377.55,94,0,,1,1,0,0,98,178,31,1,obese,0,0,36
13,,,,118,13,18,50,377.55,94,0,,1,1,0,0,98,178,31,80,obese,0,1,36
22,,,,378,49,11,36,377.55,94,0,,2,0,1,4,65,174,21,8,normal,0,0,23
11,,,,179,51,18,38,377.55,94,0,,0,1,0,0,89,170,31,2,obese,0,0,3
28,,,,289,48,29,49,377.55,94,0,,0,0,0,2,108,172,36,2,obese,0,0,32
28,,,,225,26,9,28,377.55,94,0,,1,0,0,2,69,169,24,2,normal,0,0,28
19,,,,155,12,14,34,275.312,98,0,,2,1,0,0,95,196,25,16,overweight,0,1,14
1,,,,118,13,18,50,275.312,98,0,,1,1,0,0,98,178,31,8,obese,0,0,36
5,,,,118,10,10,37,275.312,98,0,,0,0,0,0,83,172,28,8,overweight,0,0,34
26,,,,118,10,10,37,275.312,98,0,,0,0,0,0,83,172,28,4,overweight,0,0,34
26,,,,330,16,4,28,275.312,98,0,,0,0,0,0,84,182,25,8,overweight,0,0,18
18,,,,179,26,9,30,275.312,98,0,,0,0,0,0,56,171,19,8,normal,0,0,22
25,,,,155,12,14,34,275.312,98,0,,2,1,0,0,95,196,25,2,overweight,0,0,14
1,,,,330,16,4,28,275.312,98,0,,0,0,0,0,84,182,25,8,overweight,0,0,18
1,,,,330,16,4,28,275.312,98,0,,0,0,0,0,84,182,25,8,overweight,0,0,18
25,,,,157,27,6,29,275.312,98,0,,0,1,1,0,75,185,22,3,normal,1,0,30
22,,,,361,52,3,28,275.312,98,0,,1,1,0,4,80,172,27,8,overweight,0,0,10
26,,,,289,36,13,33,275.312,98,0,,2,1,0,1,90,172,30,8,obese,0,0,11
26,,,,179,51,18,38,275.312,98,0,,0,1,0,0,89,170,31,8,obese,0,0,3
19,,,,289,36,13,33,275.312,98,0,,2,1,0,1,90,172,30,32,obese,0,1,11
19,,,,289,36,13,33,275.312,98,0,,2,1,0,1,90,172,30,8,obese,0,0,11
0,,,,260,50,11,36,275.312,98,1,,4,1,0,0,65,168,23,0,normal,0,0,20
19,,,,289,36,13,33,265.615,94,0,,2,1,0,1,90,172,30,8,obese,0,0,11
19,,,,157,27,6,29,265.615,94,0,,0,1,1,0,75,185,22,3,normal,1,0,30
23,,,,289,36,13,33,265.615,94,0,,2,1,0,1,90,172,30,1,obese,0,0,11
18,,,,228,14,16,58,265.615,94,0,,2,0,0,1,65,172,22,8,normal,0,0,9
13,,,,300,26,13,43,265.615,94,0,,2,1,1,1,77,175,25,1,overweight,1,0,26
14,,,,300,26,13,43,265.615,94,0,,2,1,1,1,77,175,25,2,overweight,1,0,26
28,,,,260,50,11,36,265.615,94,0,,4,1,0,0,65,168,23,4,normal,0,0,20
23,,,,289,36,13,33,265.615,94,0,,2,1,0,1,90,172,30,4,obese,0,0,11
23,,,,248,25,14,47,265.615,94,0,,2,0,0,1,86,165,32,1,obese,0,0,33
11,,,,268,11,8,33,265.615,94,0,,0,0,0,0,79,178,25,8,overweight,0,0,21
23,,,,179,26,9,30,265.615,94,0,,0,0,0,0,56,171,19,1,normal,0,0,22
13,,,,118,13,18,50,265.615,94,0,,1,1,0,0,98,178,31,3,obese,0,0,36
25,,,,248,25,14,47,265.615,94,0,,2,0,0,1,86,165,32,2,obese,0,0,33
23,,,,235,11,14,37,265.615,94,0,,1,0,0,1,88,172,29,1,overweight,0,0,1
23,,,,118,13,18,50,265.615,94,0,,1,1,0,0,98,178,31,1,obese,0,0,36
19,,,,235,11,14,37,265.615,94,0,,1,0,0,1,88,172,29,8,overweight,0,0,1
8,,,,361,52,3,28,265.615,94,0,,1,1,0,4,80,172,27,8,overweight,0,0,10
6,,,,184,42,7,27,265.615,94,0,,0,0,0,0,58,167,21,8,normal,0,0,27
11,,,,179,51,18,38,294.217,81,0,,0,1,0,0,89,170,31,8,obese,0,0,3
23,,,,179,51,18,38,294.217,81,0,,0,1,0,0,89,170,31,3,obese,0,0,3
19,,,,289,36,13,33,294.217,81,0,,2,1,0,1,90,172,30,24,obese,0,1,11
0,,,,235,20,13,43,294.217,81,1,,1,1,0,0,106,167,38,0,obese,0,0,5
9,,,,246,25,16,41,294.217,81,0,,0,1,0,0,67,170,23,16,normal,0,1,24
28,,,,291,31,12,40,294.217,81,0,,1,1,0,1,73,171,25,3,overweight,0,0,15
0,,,,231,35,14,39,294.217,81,1,,2,1,0,2,100,170,35,0,obese,0,0,8
0,,,,291,50,12,32,294.217,81,1,,0,1,0,0,65,169,23,0,normal,0,0,19
13,,,,179,51,18,38,294.217,81,0,,0,1,0,0,89,170,31,8,obese,0,0,3
9,,,,246,25,16,41,294.217,81,0,,0,1,0,0,67,170,23,32,normal,0,1,24
23,,,,179,51,18,38,294.217,81,0,,0,1,0,0,89,170,31,1,obese,0,0,3
28,,,,291,31,12,40,294.217,81,0,,1,1,0,1,73,171,25,4,overweight,0,0,15
28,,,,260,50,11,36,294.217,81,0,,4,1,0,0,65,168,23,4,normal,0,0,20
26,,,,235,20,13,43,294.217,81,0,,1,1,0,0,106,167,38,8,obese,0,0,5
28,,,,118,13,18,50,294.217,81,0,,1,1,0,0,98,178,31,1,obese,0,0,36
0,,,,235,20,13,43,294.217,81,1,,1,1,0,0,106,167,38,0,obese,0,0,5
28,,,,291,31,12,40,294.217,81,0,,1,1,0,1,73,171,25,3,overweight,0,0,15
7,,,,291,31,12,40,294.217,81,0,,1,1,0,1,73,171,25,40,overweight,0,1,15
13,,,,179,51,18,38,294.217,81,0,,0,1,0,0,89,170,31,8,obese,0,0,3
24,,,,289,36,13,33,265.017,88,0,,2,1,0,1,90,172,30,8,obese,0,0,11
